CustomerID,TotalRevenue,TotalOrders,AverageOrderValue,CLV,Segment
12346,77183.6,1,77183.6,77183.6,Hibernating
12347,4310.0,7,615.7142857142857,4310.0,Champions
12348,1797.24,4,449.31,1797.24,Can't Lose Them
12349,1757.55,1,1757.55,1757.55,Hibernating
12350,334.4,1,334.4,334.4,Lost Customers
12352,2506.04,8,313.255,2506.04,Loyal Customers
12353,89.0,1,89.0,89.0,Lost Customers
12354,1079.4,1,1079.4,1079.4,Hibernating
12355,459.4,1,459.4,459.4,Lost Customers
12356,2811.43,3,937.1433333333333,2811.43,Loyal Customers
12357,6207.67,1,6207.67,6207.67,Hibernating
12358,1168.06,2,584.03,1168.06,Potential Loyalists
12359,6372.58,4,1593.145,6372.58,Loyal Customers
12360,2662.06,3,887.3533333333334,2662.06,Loyal Customers
12361,189.9,1,189.9,189.9,Lost Customers
12362,5226.23,10,522.6229999999999,5226.23,Champions
12363,552.0,2,276.0,552.0,Hibernating
12364,1313.1,4,328.275,1313.1,Champions
12365,641.38,2,320.69,641.38,Hibernating
12367,168.9,1,168.9,168.9,New Customers
12370,3545.69,4,886.4225,3545.69,Loyal Customers
12371,1887.96,2,943.98,1887.96,Hibernating
12372,1298.04,3,432.68,1298.04,Loyal Customers
12373,364.6,1,364.6,364.6,Lost Customers
12374,742.9300000000001,1,742.9300000000001,742.9300000000001,Hibernating
12375,457.5,2,228.75,457.5,Potential Loyalists
12377,1628.12,2,814.06,1628.12,Hibernating
12378,4008.62,1,4008.62,4008.62,Hibernating
12379,852.24,2,426.12,852.24,Hibernating
12380,2724.81,4,681.2025,2724.81,Champions
12381,1845.31,5,369.062,1845.31,Champions
12383,1850.56,5,370.11199999999997,1850.56,Can't Lose Them
12384,585.27,2,292.635,585.27,Potential Loyalists
12386,401.9,2,200.95,401.9,Lost Customers
12388,2780.66,6,463.4433333333333,2780.66,Champions
12390,549.84,1,549.84,549.84,Hibernating
12391,460.89,1,460.89,460.89,Hibernating
12393,1582.6000000000001,4,395.65000000000003,1582.6000000000001,Loyal Customers
12394,1272.48,2,636.24,1272.48,Hibernating
12395,3018.63,12,251.5525,3018.63,Champions
12397,2409.9,2,1204.95,2409.9,Hibernating
12398,1635.6599999999999,1,1635.6599999999999,1635.6599999999999,Hibernating
12399,1108.65,4,277.1625,1108.65,Can't Lose Them
12401,84.3,1,84.3,84.3,Lost Customers
12402,225.6,1,225.6,225.6,Lost Customers
12403,427.7,1,427.7,427.7,Hibernating
12405,1710.39,1,1710.39,1710.39,Hibernating
12406,3415.3,2,1707.65,3415.3,Potential Loyalists
12407,1708.1200000000001,5,341.624,1708.1200000000001,Loyal Customers
12408,2888.55,5,577.71,2888.55,Champions
12409,11072.67,3,3690.89,11072.67,At Risk
12410,693.3299999999999,2,346.66499999999996,693.3299999999999,Hibernating
12412,1226.88,3,408.96000000000004,1226.88,At Risk
12413,758.1,3,252.70000000000002,758.1,Loyal Customers
12414,562.41,3,187.47,562.41,At Risk
12415,124914.53,21,5948.310952380953,124914.53,Champions
12417,3649.1,9,405.4555555555555,3649.0999999999995,Champions
12418,668.58,1,668.58,668.58,Hibernating
12420,600.39,1,600.39,600.39,Hibernating
12421,807.04,4,201.76,807.04,Loyal Customers
12422,803.5600000000001,3,267.85333333333335,803.5600000000001,At Risk
12423,1859.31,8,232.41375,1859.31,Champions
12424,1760.96,2,880.48,1760.96,Hibernating
12425,777.2,1,777.2,777.2,Hibernating
12426,582.73,1,582.73,582.73,Hibernating
12427,825.8,3,275.26666666666665,825.8,Loyal Customers
12428,7956.46,9,884.0511111111111,7956.46,Champions
12429,3750.4,4,937.6,3750.4,Champions
12430,256.4,1,256.4,256.4,Hibernating
12431,6487.45,15,432.49666666666667,6487.45,Loyal Customers
12432,5059.32,5,1011.8639999999999,5059.32,Loyal Customers
12433,13375.87,7,1910.8385714285716,13375.87,Champions
12434,806.14,2,403.07,806.14,Hibernating
12435,7829.89,2,3914.945,7829.89,Hibernating
12436,509.01,1,509.01,509.01,Hibernating
12437,4951.41,18,275.0783333333333,4951.41,Champions
12438,2906.85,2,1453.425,2906.85,Potential Loyalists
12441,173.55,1,173.55,173.55,Lost Customers
12442,172.06,1,172.06,172.06,New Customers
12444,5005.46,5,1001.092,5005.46,Champions
12445,133.4,1,133.4,133.4,Hibernating
12446,1002.3100000000001,1,1002.3100000000001,1002.3100000000001,Hibernating
12447,476.49,1,476.49,476.49,Lost Customers
12448,449.45,1,449.45,449.45,Hibernating
12449,4067.29,4,1016.8225,4067.29,Champions
12450,197.88,2,98.94,197.88,Lost Customers
12451,9035.52,5,1807.104,9035.52,Champions
12452,430.57,2,215.285,430.57,Potential Loyalists
12453,707.09,1,707.09,707.09,Hibernating
12454,3528.34,1,3528.34,3528.34,Hibernating
12455,2466.86,6,411.1433333333334,2466.86,Can't Lose Them
12456,3181.04,3,1060.3466666666666,3181.04,Loyal Customers
12457,2363.23,7,337.6042857142857,2363.23,Loyal Customers
12458,947.4,2,473.7,947.4,Hibernating
12461,826.88,2,413.44,826.88,Hibernating
12462,1189.59,2,594.795,1189.59,Potential Loyalists
12463,1344.78,4,336.195,1344.78,Loyal Customers
12464,1212.05,8,151.50625,1212.05,Champions
12465,742.1899999999999,2,371.09499999999997,742.1899999999999,Potential Loyalists
12468,729.5400000000001,2,364.77000000000004,729.5400000000001,Hibernating
12471,19824.05,30,660.8016666666666,19824.05,Champions
12472,6572.11,7,938.8728571428571,6572.11,Champions
12473,3938.5499999999997,5,787.7099999999999,3938.5499999999997,Champions
12474,7375.79,18,409.7661111111111,7375.79,Champions
12475,723.38,1,723.38,723.38,Hibernating
12476,6816.42,11,619.6745454545454,6816.419999999999,Champions
12477,13219.74,6,2203.29,13219.74,Champions
12478,680.99,1,680.99,680.99,New Customers
12479,527.2,1,527.2,527.2,New Customers
